timestamp (seconds since 01/01/1970), system, entity , value (m)
1756381026.958858, lauv-fridtjof, 71, 0.109433
1756381027.016462, lauv-fridtjof, 71, 0.119381
1756381027.075454, lauv-fridtjof, 71, 0.119381
1756381027.124883, lauv-fridtjof, 71, 0.129330
1756381027.183592, lauv-fridtjof, 71, 0.139278
1756381027.241854, lauv-fridtjof, 71, 0.129330
1756381027.300593, lauv-fridtjof, 71, 0.129330
1756381027.350079, lauv-fridtjof, 71, 0.139278
1756381027.408073, lauv-fridtjof, 71, 0.129330
1756381027.466365, lauv-fridtjof, 71, 0.109433
1756381027.524785, lauv-fridtjof, 71, 0.099485
1756381027.574746, lauv-fridtjof, 71, 0.089536
1756381027.633143, lauv-fridtjof, 71, 0.089536
1756381027.691401, lauv-fridtjof, 71, 0.089536
1756381027.749688, lauv-fridtjof, 71, 0.089536
1756381027.800362, lauv-fridtjof, 71, 0.079588
1756381027.857988, lauv-fridtjof, 71, 0.079588
1756381027.916402, lauv-fridtjof, 71, 0.089536
1756381027.974808, lauv-fridtjof, 71, 0.099485
1756381028.024709, lauv-fridtjof, 71, 0.099485
1756381028.083007, lauv-fridtjof, 71, 0.099485
1756381028.141390, lauv-fridtjof, 71, 0.109433
1756381028.199925, lauv-fridtjof, 71, 0.099485
1756381028.249710, lauv-fridtjof, 71, 0.099485
1756381028.307985, lauv-fridtjof, 71, 0.109433
1756381028.366387, lauv-fridtjof, 71, 0.099485
1756381028.424753, lauv-fridtjof, 71, 0.109433
1756381028.474769, lauv-fridtjof, 71, 0.099485
1756381028.533231, lauv-fridtjof, 71, 0.099485
1756381028.591393, lauv-fridtjof, 71, 0.099485
1756381028.649717, lauv-fridtjof, 71, 0.099485
1756381028.700043, lauv-fridtjof, 71, 0.099485
1756381028.758049, lauv-fridtjof, 71, 0.099485
1756381028.816406, lauv-fridtjof, 71, 0.109433
1756381028.874743, lauv-fridtjof, 71, 0.109433
1756381028.924786, lauv-fridtjof, 71, 0.119381
1756381028.982990, lauv-fridtjof, 71, 0.119381
1756381029.041386, lauv-fridtjof, 71, 0.119381
1756381029.100439, lauv-fridtjof, 71, 0.109433
1756381029.149747, lauv-fridtjof, 71, 0.119381
1756381029.208017, lauv-fridtjof, 71, 0.119381
1756381029.266395, lauv-fridtjof, 71, 0.119381
1756381029.324725, lauv-fridtjof, 71, 0.119381
1756381029.374759, lauv-fridtjof, 71, 0.119381
1756381029.433074, lauv-fridtjof, 71, 0.119381
1756381029.491922, lauv-fridtjof, 71, 0.119381
1756381029.549715, lauv-fridtjof, 71, 0.119381
1756381029.599739, lauv-fridtjof, 71, 0.119381
1756381029.658008, lauv-fridtjof, 71, 0.109433
1756381029.716594, lauv-fridtjof, 71, 0.109433
1756381029.774749, lauv-fridtjof, 71, 0.099485
1756381029.824746, lauv-fridtjof, 71, 0.109433
1756381029.882986, lauv-fridtjof, 71, 0.109433
1756381029.941374, lauv-fridtjof, 71, 0.099485
1756381029.999709, lauv-fridtjof, 71, 0.109433
1756381030.049712, lauv-fridtjof, 71, 0.099485
1756381030.108116, lauv-fridtjof, 71, 0.099485
1756381030.166395, lauv-fridtjof, 71, 0.079588
1756381030.224781, lauv-fridtjof, 71, 0.079588
1756381030.274750, lauv-fridtjof, 71, 0.069639
1756381030.333051, lauv-fridtjof, 71, 0.069639
1756381030.391364, lauv-fridtjof, 71, 0.079588
1756381030.449722, lauv-fridtjof, 71, 0.079588
1756381030.499768, lauv-fridtjof, 71, 0.079588
1756381030.558253, lauv-fridtjof, 71, 0.089536
1756381030.616478, lauv-fridtjof, 71, 0.099485
1756381030.675236, lauv-fridtjof, 71, 0.119381
1756381030.726032, lauv-fridtjof, 71, 0.119381
1756381030.782993, lauv-fridtjof, 71, 0.129330
1756381030.841384, lauv-fridtjof, 71, 0.129330
1756381030.899730, lauv-fridtjof, 71, 0.129330
1756381030.949753, lauv-fridtjof, 71, 0.119381
1756381031.008001, lauv-fridtjof, 71, 0.109433
1756381031.066393, lauv-fridtjof, 71, 0.099485
1756381031.124950, lauv-fridtjof, 71, 0.099485
1756381031.174751, lauv-fridtjof, 71, 0.089536
1756381031.233057, lauv-fridtjof, 71, 0.079588
1756381031.291889, lauv-fridtjof, 71, 0.079588
1756381031.349804, lauv-fridtjof, 71, 0.079588
1756381031.399738, lauv-fridtjof, 71, 0.089536
1756381031.458051, lauv-fridtjof, 71, 0.089536
1756381031.516438, lauv-fridtjof, 71, 0.089536
1756381031.574759, lauv-fridtjof, 71, 0.099485
1756381031.624769, lauv-fridtjof, 71, 0.109433
1756381031.683020, lauv-fridtjof, 71, 0.119381
1756381031.741464, lauv-fridtjof, 71, 0.119381
1756381031.799795, lauv-fridtjof, 71, 0.109433
1756381031.849727, lauv-fridtjof, 71, 0.109433
1756381031.908042, lauv-fridtjof, 71, 0.109433
1756381031.966370, lauv-fridtjof, 71, 0.109433
1756381032.024700, lauv-fridtjof, 71, 0.099485
1756381032.074779, lauv-fridtjof, 71, 0.099485
1756381032.133047, lauv-fridtjof, 71, 0.089536
1756381032.191370, lauv-fridtjof, 71, 0.079588
1756381032.249748, lauv-fridtjof, 71, 0.089536
1756381032.299736, lauv-fridtjof, 71, 0.089536
1756381032.358014, lauv-fridtjof, 71, 0.079588
1756381032.416438, lauv-fridtjof, 71, 0.079588
1756381032.474777, lauv-fridtjof, 71, 0.079588
1756381032.524726, lauv-fridtjof, 71, 0.089536
1756381032.583306, lauv-fridtjof, 71, 0.079588
1756381032.641408, lauv-fridtjof, 71, 0.089536
1756381032.699748, lauv-fridtjof, 71, 0.099485
1756381032.749724, lauv-fridtjof, 71, 0.099485
1756381032.808105, lauv-fridtjof, 71, 0.099485
1756381032.866401, lauv-fridtjof, 71, 0.099485
1756381032.924727, lauv-fridtjof, 71, 0.109433
1756381032.974845, lauv-fridtjof, 71, 0.099485
1756381033.033080, lauv-fridtjof, 71, 0.109433
1756381033.091406, lauv-fridtjof, 71, 0.109433
1756381033.149703, lauv-fridtjof, 71, 0.119381
1756381033.199824, lauv-fridtjof, 71, 0.109433
1756381033.258048, lauv-fridtjof, 71, 0.119381
1756381033.316429, lauv-fridtjof, 71, 0.119381
1756381033.374763, lauv-fridtjof, 71, 0.119381
1756381033.424731, lauv-fridtjof, 71, 0.109433
1756381033.483062, lauv-fridtjof, 71, 0.119381
1756381033.541391, lauv-fridtjof, 71, 0.109433
1756381033.599877, lauv-fridtjof, 71, 0.109433
1756381033.650103, lauv-fridtjof, 71, 0.109433
1756381033.708073, lauv-fridtjof, 71, 0.109433
1756381033.766433, lauv-fridtjof, 71, 0.109433
1756381033.824725, lauv-fridtjof, 71, 0.109433
1756381033.874760, lauv-fridtjof, 71, 0.099485
1756381033.933095, lauv-fridtjof, 71, 0.099485
1756381033.991370, lauv-fridtjof, 71, 0.099485
1756381034.049736, lauv-fridtjof, 71, 0.099485
1756381034.099749, lauv-fridtjof, 71, 0.109433
1756381034.158025, lauv-fridtjof, 71, 0.119381
1756381034.217037, lauv-fridtjof, 71, 0.119381
1756381034.274782, lauv-fridtjof, 71, 0.129330
1756381034.324752, lauv-fridtjof, 71, 0.129330
1756381034.383038, lauv-fridtjof, 71, 0.139278
1756381034.441384, lauv-fridtjof, 71, 0.149227
1756381034.499782, lauv-fridtjof, 71, 0.139278
1756381034.549708, lauv-fridtjof, 71, 0.139278
1756381034.608151, lauv-fridtjof, 71, 0.139278
1756381034.666409, lauv-fridtjof, 71, 0.139278
1756381034.724758, lauv-fridtjof, 71, 0.129330
1756381034.774761, lauv-fridtjof, 71, 0.119381
1756381034.833115, lauv-fridtjof, 71, 0.119381
1756381034.891427, lauv-fridtjof, 71, 0.109433
1756381034.949793, lauv-fridtjof, 71, 0.109433
1756381034.999763, lauv-fridtjof, 71, 0.119381
1756381035.060120, lauv-fridtjof, 71, 0.119381
1756381035.116747, lauv-fridtjof, 71, 0.129330
1756381035.174773, lauv-fridtjof, 71, 0.139278
