timestamp (seconds since 01/01/1970), system, entity , type (bitfield), reason (enumerated), value (m/s), timestep (s)
1756381228.452775, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.655407, 0.199887
1756381228.656740, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.655624, 0.200149
1756381228.851363, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.655804, 0.199881
1756381229.051943, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.655983, 0.200029
1756381229.256593, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.655991, 0.200052
1756381229.452447, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.655708, 0.199991
1756381229.657603, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.655304, 0.199956
1756381306.422730, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.396885, 0.150704
1756381306.546841, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.396896, 0.099236
1756381507.968096, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.664772, 0.151484
1756381522.928336, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.894054, 0.149544
1756381544.474415, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 34.034008, 0.152055
1756381557.673788, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.666416, 0.149395
1756381557.800596, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.666416, 0.100214
1756381558.304726, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.969563, 0.100521
1756381558.433408, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.969563, 0.151157
1756381559.069426, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.609661, 0.150544
1756381559.193058, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.609665, 0.100118
1756381559.326994, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.609665, 0.150169
1756381559.445909, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.609665, 0.099167
