timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), type (enumerated), utc_year, utc_month, utc_day, utc_time (s), lat (rad), lon (rad), height (m), satellites, cog (rad), sog (m/s), hdop, vdop, hacc (m), vacc (m)
1756381027.061552, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41824.000000, 1.10601782, 0.17573412, 37.801998, 9, 0.000000, 0.546389, 1.060000, 1.530000, 7.300000, 8.200000
1756381028.058815, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41825.000000, 1.10601774, 0.1757342, 37.748001, 9, 0.000000, 0.538611, 1.060000, 1.530000, 7.400000, 8.300000
1756381029.070702, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41826.000000, 1.10601768, 0.17573426, 37.720001, 9, 0.000000, 0.447222, 1.060000, 1.530000, 7.400000, 8.300000
1756381030.061051, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41827.000000, 1.10601762, 0.17573435, 37.799000, 9, 0.000000, 0.552778, 1.060000, 1.530000, 7.400000, 8.400000
1756381031.060035, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41828.000000, 1.10601756, 0.17573442, 37.808998, 9, 0.000000, 0.500556, 1.060000, 1.530000, 7.400000, 8.500000
1756381032.061170, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41829.000000, 1.10601749, 0.17573449, 37.694000, 9, 0.000000, 0.521667, 1.060000, 1.530000, 7.500000, 8.600000
1756381033.063410, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41830.000000, 1.10601742, 0.17573453, 37.694000, 9, 2.654122, 0.576111, 1.060000, 1.530000, 7.600000, 8.700000
1756381034.060038, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41831.000000, 1.10601737, 0.17573456, 37.692001, 9, 0.000000, 0.369444, 1.060000, 1.530000, 7.700000, 8.800000
1756381035.064816, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41832.000000, 1.10601732, 0.17573448, 37.681000, 9, 0.000000, 0.426667, 1.060000, 1.530000, 7.600000, 8.800000
1756381036.061722, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41833.000000, 1.10601732, 0.1757343, 37.737999, 9, 0.000000, 0.520833, 1.060000, 1.530000, 7.600000, 8.800000
1756381037.058985, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41834.000000, 1.10601733, 0.1757341, 37.666000, 9, 0.000000, 0.529444, 1.060000, 1.530000, 7.500000, 8.700000
1756381038.065082, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41835.000000, 1.10601739, 0.17573394, 37.627998, 9, 0.000000, 0.639167, 1.060000, 1.530000, 7.400000, 8.600000
1756381039.063244, lauv-fridtjof, 58, VALID_DATE|VALID_TIME|VALID_POS|VALID_COG|VALID_SOG|VALID_HACC|VALID_VACC|VALID_HDOP|VALID_VDOP, STANDALONE, 2025, 8, 28, 41836.000000, 1.10601751, 0.17573383, 37.719002, 9, 0.422021, 0.733056, 1.060000, 1.530000, 7.100000, 8.300000
