timestamp (seconds since 01/01/1970), system, entity , utc_time (s), reason (enumerated)
1756381045.016519, lauv-fridtjof, 49, 41842.000000, INVALID
1756381046.017260, lauv-fridtjof, 49, 41843.000000, INVALID
1756381047.029426, lauv-fridtjof, 49, 41844.000000, INVALID
1756381048.004860, lauv-fridtjof, 49, 41845.000000, INVALID
1756381048.996692, lauv-fridtjof, 49, 41846.000000, INVALID
1756381050.005055, lauv-fridtjof, 49, 41847.000000, INVALID
1756381051.005496, lauv-fridtjof, 49, 41848.000000, INVALID
1756381052.003153, lauv-fridtjof, 49, 41849.000000, INVALID
1756381053.011300, lauv-fridtjof, 49, 41850.000000, INVALID
1756381054.002527, lauv-fridtjof, 49, 41851.000000, INVALID
1756381054.997800, lauv-fridtjof, 49, 41852.000000, INVALID
1756381056.003801, lauv-fridtjof, 49, 41853.000000, INVALID
1756381056.995881, lauv-fridtjof, 49, 41854.000000, INVALID
1756381057.999968, lauv-fridtjof, 49, 41855.000000, INVALID
1756381058.997101, lauv-fridtjof, 49, 41856.000000, INVALID
1756381059.998487, lauv-fridtjof, 49, 41857.000000, INVALID
1756381060.997072, lauv-fridtjof, 49, 41858.000000, INVALID
1756381061.998509, lauv-fridtjof, 49, 41859.000000, INVALID
1756381062.997885, lauv-fridtjof, 49, 41860.000000, INVALID
1756381064.002909, lauv-fridtjof, 49, 41861.000000, INVALID
1756381064.995282, lauv-fridtjof, 49, 41862.000000, INVALID
1756381065.996149, lauv-fridtjof, 49, 41863.000000, INVALID
1756381066.999318, lauv-fridtjof, 49, 41864.000000, INVALID
1756381068.002423, lauv-fridtjof, 49, 41865.000000, INVALID
1756381068.998094, lauv-fridtjof, 49, 41866.000000, INVALID
1756381069.996763, lauv-fridtjof, 49, 41867.000000, INVALID
1756381070.993901, lauv-fridtjof, 49, 41868.000000, INVALID
1756381072.001027, lauv-fridtjof, 49, 41869.000000, INVALID
1756381073.006414, lauv-fridtjof, 49, 41870.000000, INVALID
1756381073.998314, lauv-fridtjof, 49, 41871.000000, INVALID
1756381074.996495, lauv-fridtjof, 49, 41872.000000, INVALID
1756381076.003786, lauv-fridtjof, 49, 41873.000000, INVALID
1756381077.003710, lauv-fridtjof, 49, 41874.000000, INVALID
1756381078.006154, lauv-fridtjof, 49, 41875.000000, INVALID
1756381079.004021, lauv-fridtjof, 49, 41876.000000, INVALID
1756381080.009333, lauv-fridtjof, 49, 41877.000000, INVALID
1756381081.008626, lauv-fridtjof, 49, 41878.000000, INVALID
1756381082.005478, lauv-fridtjof, 49, 41879.000000, INVALID
1756381083.010729, lauv-fridtjof, 49, 41880.000000, INVALID
1756381084.009928, lauv-fridtjof, 49, 41881.000000, INVALID
1756381085.000962, lauv-fridtjof, 49, 41882.000000, INVALID
1756381086.001146, lauv-fridtjof, 49, 41883.000000, INVALID
1756381087.001240, lauv-fridtjof, 49, 41884.000000, INVALID
1756381088.003392, lauv-fridtjof, 49, 41885.000000, INVALID
1756381089.005525, lauv-fridtjof, 49, 41886.000000, INVALID
1756381090.024787, lauv-fridtjof, 49, 41887.000000, INVALID
1756381091.027160, lauv-fridtjof, 49, 41888.000000, INVALID
1756381092.017081, lauv-fridtjof, 49, 41889.000000, INVALID
1756381093.018294, lauv-fridtjof, 49, 41890.000000, INVALID
1756381094.111425, lauv-fridtjof, 49, 41891.000000, ABOVE_THRESHOLD
1756381095.052573, lauv-fridtjof, 49, 41892.000000, ABOVE_MAX_HACC
1756381096.057947, lauv-fridtjof, 49, 41893.000000, ABOVE_MAX_HACC
1756381097.055897, lauv-fridtjof, 49, 41894.000000, ABOVE_MAX_HACC
1756381256.020301, lauv-fridtjof, 49, 42053.000000, INVALID
1756381257.008322, lauv-fridtjof, 49, 42054.000000, INVALID
1756381258.001392, lauv-fridtjof, 49, 42055.000000, INVALID
1756381259.008710, lauv-fridtjof, 49, 42056.000000, INVALID
1756381260.013814, lauv-fridtjof, 49, 42057.000000, INVALID
1756381261.015084, lauv-fridtjof, 49, 42058.000000, INVALID
1756381262.017558, lauv-fridtjof, 49, 42059.000000, INVALID
1756381263.014254, lauv-fridtjof, 49, 42060.000000, INVALID
1756381264.000636, lauv-fridtjof, 49, 42061.000000, INVALID
1756381264.999363, lauv-fridtjof, 49, 42062.000000, INVALID
1756381266.004526, lauv-fridtjof, 49, 42063.000000, INVALID
1756381266.994810, lauv-fridtjof, 49, 42064.000000, INVALID
1756381267.999861, lauv-fridtjof, 49, 42065.000000, INVALID
1756381269.007793, lauv-fridtjof, 49, 42066.000000, INVALID
1756381270.004138, lauv-fridtjof, 49, 42067.000000, INVALID
1756381270.998319, lauv-fridtjof, 49, 42068.000000, INVALID
1756381272.009442, lauv-fridtjof, 49, 42069.000000, INVALID
1756381272.999800, lauv-fridtjof, 49, 42070.000000, INVALID
1756381273.997169, lauv-fridtjof, 49, 42071.000000, INVALID
1756381274.995965, lauv-fridtjof, 49, 42072.000000, INVALID
1756381275.998059, lauv-fridtjof, 49, 42073.000000, INVALID
1756381276.997311, lauv-fridtjof, 49, 42074.000000, INVALID
1756381278.004366, lauv-fridtjof, 49, 42075.000000, INVALID
1756381278.998477, lauv-fridtjof, 49, 42076.000000, INVALID
1756381279.998642, lauv-fridtjof, 49, 42077.000000, INVALID
1756381280.999725, lauv-fridtjof, 49, 42078.000000, INVALID
1756381282.004874, lauv-fridtjof, 49, 42079.000000, INVALID
1756381282.999027, lauv-fridtjof, 49, 42080.000000, INVALID
1756381284.003798, lauv-fridtjof, 49, 42081.000000, INVALID
1756381284.996070, lauv-fridtjof, 49, 42082.000000, INVALID
1756381285.999469, lauv-fridtjof, 49, 42083.000000, INVALID
1756381286.999645, lauv-fridtjof, 49, 42084.000000, INVALID
1756381287.998803, lauv-fridtjof, 49, 42085.000000, INVALID
1756381288.995946, lauv-fridtjof, 49, 42086.000000, INVALID
1756381290.001371, lauv-fridtjof, 49, 42087.000000, INVALID
1756381291.004297, lauv-fridtjof, 49, 42088.000000, INVALID
1756381292.000507, lauv-fridtjof, 49, 42089.000000, INVALID
1756381293.007576, lauv-fridtjof, 49, 42090.000000, INVALID
1756381294.003797, lauv-fridtjof, 49, 42091.000000, INVALID
1756381294.999381, lauv-fridtjof, 49, 42092.000000, INVALID
1756381295.999718, lauv-fridtjof, 49, 42093.000000, INVALID
1756381297.000141, lauv-fridtjof, 49, 42094.000000, INVALID
1756381298.001260, lauv-fridtjof, 49, 42095.000000, INVALID
1756381298.998465, lauv-fridtjof, 49, 42096.000000, INVALID
1756381300.003516, lauv-fridtjof, 49, 42097.000000, INVALID
1756381301.002752, lauv-fridtjof, 49, 42098.000000, INVALID
1756381302.003983, lauv-fridtjof, 49, 42099.000000, INVALID
1756381303.003102, lauv-fridtjof, 49, 42100.000000, INVALID
1756381304.007299, lauv-fridtjof, 49, 42101.000000, INVALID
1756381305.003318, lauv-fridtjof, 49, 42102.000000, INVALID
1756381306.005526, lauv-fridtjof, 49, 42103.000000, INVALID
1756381306.999736, lauv-fridtjof, 49, 42104.000000, INVALID
1756381308.003546, lauv-fridtjof, 49, 42105.000000, INVALID
1756381309.003845, lauv-fridtjof, 49, 42106.000000, INVALID
1756381310.005533, lauv-fridtjof, 49, 42107.000000, INVALID
1756381311.006156, lauv-fridtjof, 49, 42108.000000, INVALID
1756381312.006298, lauv-fridtjof, 49, 42109.000000, INVALID
1756381313.008706, lauv-fridtjof, 49, 42110.000000, INVALID
1756381314.007787, lauv-fridtjof, 49, 42111.000000, INVALID
1756381315.003813, lauv-fridtjof, 49, 42112.000000, INVALID
1756381316.008862, lauv-fridtjof, 49, 42113.000000, INVALID
1756381317.006098, lauv-fridtjof, 49, 42114.000000, INVALID
1756381318.000703, lauv-fridtjof, 49, 42115.000000, INVALID
1756381318.998320, lauv-fridtjof, 49, 42116.000000, INVALID
1756381320.004510, lauv-fridtjof, 49, 42117.000000, INVALID
1756381320.996895, lauv-fridtjof, 49, 42118.000000, INVALID
1756381322.003776, lauv-fridtjof, 49, 42119.000000, INVALID
1756381322.997997, lauv-fridtjof, 49, 42120.000000, INVALID
1756381324.006165, lauv-fridtjof, 49, 42121.000000, INVALID
1756381325.002240, lauv-fridtjof, 49, 42122.000000, INVALID
1756381325.999366, lauv-fridtjof, 49, 42123.000000, INVALID
1756381326.994612, lauv-fridtjof, 49, 42124.000000, INVALID
1756381327.995740, lauv-fridtjof, 49, 42125.000000, INVALID
1756381328.995866, lauv-fridtjof, 49, 42126.000000, INVALID
1756381330.001969, lauv-fridtjof, 49, 42127.000000, INVALID
1756381330.996149, lauv-fridtjof, 49, 42128.000000, INVALID
1756381332.004293, lauv-fridtjof, 49, 42129.000000, INVALID
1756381332.998391, lauv-fridtjof, 49, 42130.000000, INVALID
1756381333.997602, lauv-fridtjof, 49, 42131.000000, INVALID
1756381334.996533, lauv-fridtjof, 49, 42132.000000, INVALID
1756381335.993903, lauv-fridtjof, 49, 42133.000000, INVALID
1756381336.993018, lauv-fridtjof, 49, 42134.000000, INVALID
1756381337.995277, lauv-fridtjof, 49, 42135.000000, INVALID
1756381338.995416, lauv-fridtjof, 49, 42136.000000, INVALID
1756381340.000454, lauv-fridtjof, 49, 42137.000000, INVALID
1756381340.996942, lauv-fridtjof, 49, 42138.000000, INVALID
1756381341.998697, lauv-fridtjof, 49, 42139.000000, INVALID
1756381342.997123, lauv-fridtjof, 49, 42140.000000, INVALID
1756381343.993116, lauv-fridtjof, 49, 42141.000000, INVALID
1756381344.996246, lauv-fridtjof, 49, 42142.000000, INVALID
1756381345.997358, lauv-fridtjof, 49, 42143.000000, INVALID
1756381346.995536, lauv-fridtjof, 49, 42144.000000, INVALID
1756381347.994741, lauv-fridtjof, 49, 42145.000000, INVALID
1756381348.992502, lauv-fridtjof, 49, 42146.000000, INVALID
1756381349.996035, lauv-fridtjof, 49, 42147.000000, INVALID
1756381350.996074, lauv-fridtjof, 49, 42148.000000, INVALID
1756381351.993548, lauv-fridtjof, 49, 42149.000000, INVALID
1756381353.001510, lauv-fridtjof, 49, 42150.000000, INVALID
1756381354.002688, lauv-fridtjof, 49, 42151.000000, INVALID
1756381355.003645, lauv-fridtjof, 49, 42152.000000, INVALID
1756381355.995824, lauv-fridtjof, 49, 42153.000000, INVALID
1756381356.994972, lauv-fridtjof, 49, 42154.000000, INVALID
1756381357.995148, lauv-fridtjof, 49, 42155.000000, INVALID
1756381358.994327, lauv-fridtjof, 49, 42156.000000, INVALID
1756381359.993492, lauv-fridtjof, 49, 42157.000000, INVALID
1756381360.994948, lauv-fridtjof, 49, 42158.000000, INVALID
1756381361.999645, lauv-fridtjof, 49, 42159.000000, INVALID
1756381362.993988, lauv-fridtjof, 49, 42160.000000, INVALID
1756381363.997983, lauv-fridtjof, 49, 42161.000000, INVALID
1756381364.997325, lauv-fridtjof, 49, 42162.000000, INVALID
1756381365.999346, lauv-fridtjof, 49, 42163.000000, INVALID
1756381366.996665, lauv-fridtjof, 49, 42164.000000, INVALID
1756381367.996629, lauv-fridtjof, 49, 42165.000000, INVALID
1756381368.994847, lauv-fridtjof, 49, 42166.000000, INVALID
1756381369.995950, lauv-fridtjof, 49, 42167.000000, INVALID
1756381371.000220, lauv-fridtjof, 49, 42168.000000, INVALID
1756381371.996146, lauv-fridtjof, 49, 42169.000000, INVALID
1756381372.997348, lauv-fridtjof, 49, 42170.000000, INVALID
1756381373.997544, lauv-fridtjof, 49, 42171.000000, INVALID
1756381374.996634, lauv-fridtjof, 49, 42172.000000, INVALID
1756381376.004853, lauv-fridtjof, 49, 42173.000000, INVALID
1756381377.002023, lauv-fridtjof, 49, 42174.000000, INVALID
1756381378.002995, lauv-fridtjof, 49, 42175.000000, INVALID
1756381378.997366, lauv-fridtjof, 49, 42176.000000, INVALID
1756381380.004306, lauv-fridtjof, 49, 42177.000000, INVALID
1756381380.996812, lauv-fridtjof, 49, 42178.000000, INVALID
1756381382.004640, lauv-fridtjof, 49, 42179.000000, INVALID
1756381382.997807, lauv-fridtjof, 49, 42180.000000, INVALID
1756381383.998236, lauv-fridtjof, 49, 42181.000000, INVALID
1756381384.999029, lauv-fridtjof, 49, 42182.000000, INVALID
1756381386.004280, lauv-fridtjof, 49, 42183.000000, INVALID
1756381386.997412, lauv-fridtjof, 49, 42184.000000, INVALID
1756381388.003500, lauv-fridtjof, 49, 42185.000000, INVALID
1756381388.994759, lauv-fridtjof, 49, 42186.000000, INVALID
1756381389.999377, lauv-fridtjof, 49, 42187.000000, INVALID
1756381391.001944, lauv-fridtjof, 49, 42188.000000, INVALID
1756381391.997131, lauv-fridtjof, 49, 42189.000000, INVALID
1756381392.996557, lauv-fridtjof, 49, 42190.000000, INVALID
1756381393.996714, lauv-fridtjof, 49, 42191.000000, INVALID
