timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1756381027.055250, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.43201676, -0.16552788, 0.02098748
1756381027.251804, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.42456499, -0.21533172, -0.06590998
1756381027.455446, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.44084921, -0.20807271, -0.14076051
1756381027.651527, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.46367645, -0.16357188, -0.07191731
1756381027.852669, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.48369813, -0.16583969, 0.05235372
1756381028.050344, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.47542909, -0.18222505, 0.07935876
1756381028.252975, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.45347583, -0.16883777, 0.04452372
1756381028.452319, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.42880204, -0.15472087, 0.00756918
1756381028.652304, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.41824791, -0.19550586, -0.02556755
1756381028.851458, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.43335643, -0.24209496, -0.05147082
1756381029.055161, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.44777185, -0.22223237, -0.03307634
1756381029.253004, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.4525378, -0.19315691, -0.00361097
1756381029.455885, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.46569362, -0.19644918, -0.03055502
1756381029.651760, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.49073371, -0.21274701, -0.02915261
1756381029.856302, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.48471263, -0.24770582, -0.01778243
1756381030.053142, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.4691962, -0.21936531, -0.01735019
1756381030.253073, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.4600718, -0.1425589, 0.06932563
1756381030.452079, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.43289515, -0.16176385, 0.14527498
1756381030.653774, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.39850575, -0.25774634, 0.04946228
1756381030.850969, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.4027006, -0.28851336, -0.08455367
1756381031.055267, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.4407877, -0.26761469, -0.10429286
1756381031.251001, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.49535728, -0.2541132, 0.01106849
1756381031.454685, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.51475161, -0.27982771, 0.09253129
1756381031.650995, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.48918441, -0.29004529, 0.07126712
1756381031.855276, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.44153625, -0.25808287, 0.01867791
1756381032.051379, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.4119328, -0.24843159, -0.00684244
1756381032.255008, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.39727515, -0.23835115, -0.01485934
1756381032.451443, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.40301189, -0.24198589, -0.00176986
1756381032.653384, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.41794944, -0.27461928, -0.00662577
1756381032.852341, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.40666577, -0.29846478, -0.01676316
1756381033.053894, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.37346551, -0.29181096, -0.01733704
1756381033.253277, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.3393279, -0.26591352, -0.01397636
1756381033.454436, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.33282596, -0.25742191, -0.01330322
1756381033.651821, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.30389392, -0.27543375, 0.03053982
1756381033.855283, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.22915205, -0.27740914, 0.10371677
1756381034.051325, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.11145804, -0.27244186, 0.15087752
1756381034.253964, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.00648265, -0.26338956, 0.12169478
