timestamp (seconds since 01/01/1970), system, entity , value (m/s)
1756381026.959037, lauv-fridtjof, 71, 1481.380005
1756381027.016691, lauv-fridtjof, 71, 1481.390015
1756381027.055250, lauv-fridtjof, 61, 1480.903320
1756381027.075618, lauv-fridtjof, 71, 1481.390015
1756381027.125075, lauv-fridtjof, 71, 1481.400024
1756381027.183761, lauv-fridtjof, 71, 1481.390015
1756381027.242031, lauv-fridtjof, 71, 1481.380005
1756381027.251804, lauv-fridtjof, 61, 1480.902466
1756381027.300753, lauv-fridtjof, 71, 1481.380005
1756381027.350300, lauv-fridtjof, 71, 1481.380005
1756381027.409111, lauv-fridtjof, 71, 1481.390015
1756381027.455446, lauv-fridtjof, 61, 1480.904175
1756381027.466527, lauv-fridtjof, 71, 1481.390015
1756381027.524947, lauv-fridtjof, 71, 1481.380005
1756381027.574906, lauv-fridtjof, 71, 1481.359985
1756381027.634144, lauv-fridtjof, 71, 1481.359985
1756381027.651527, lauv-fridtjof, 61, 1480.903198
1756381027.691612, lauv-fridtjof, 71, 1481.349976
1756381027.749848, lauv-fridtjof, 71, 1481.349976
1756381027.800595, lauv-fridtjof, 71, 1481.349976
1756381027.852669, lauv-fridtjof, 61, 1480.905640
1756381027.858147, lauv-fridtjof, 71, 1481.349976
1756381027.916611, lauv-fridtjof, 71, 1481.349976
1756381027.975040, lauv-fridtjof, 71, 1481.349976
1756381028.024889, lauv-fridtjof, 71, 1481.349976
1756381028.050344, lauv-fridtjof, 61, 1480.917969
1756381028.083168, lauv-fridtjof, 71, 1481.349976
1756381028.141559, lauv-fridtjof, 71, 1481.349976
1756381028.200092, lauv-fridtjof, 71, 1481.349976
1756381028.249870, lauv-fridtjof, 71, 1481.359985
1756381028.252975, lauv-fridtjof, 61, 1480.896240
1756381028.308146, lauv-fridtjof, 71, 1481.369995
1756381028.366553, lauv-fridtjof, 71, 1481.390015
1756381028.424944, lauv-fridtjof, 71, 1481.400024
1756381028.452319, lauv-fridtjof, 61, 1480.905151
1756381028.474928, lauv-fridtjof, 71, 1481.390015
1756381028.533396, lauv-fridtjof, 71, 1481.380005
1756381028.591647, lauv-fridtjof, 71, 1481.369995
1756381028.649894, lauv-fridtjof, 71, 1481.359985
1756381028.652304, lauv-fridtjof, 61, 1480.890869
1756381028.700292, lauv-fridtjof, 71, 1481.359985
1756381028.758248, lauv-fridtjof, 71, 1481.359985
1756381028.816613, lauv-fridtjof, 71, 1481.369995
1756381028.851458, lauv-fridtjof, 61, 1480.893188
1756381028.874904, lauv-fridtjof, 71, 1481.359985
1756381028.924954, lauv-fridtjof, 71, 1481.359985
1756381028.983155, lauv-fridtjof, 71, 1481.359985
1756381029.041552, lauv-fridtjof, 71, 1481.359985
1756381029.055161, lauv-fridtjof, 61, 1480.890869
1756381029.100598, lauv-fridtjof, 71, 1481.359985
1756381029.149914, lauv-fridtjof, 71, 1481.359985
1756381029.208759, lauv-fridtjof, 71, 1481.359985
1756381029.253004, lauv-fridtjof, 61, 1480.881226
1756381029.266562, lauv-fridtjof, 71, 1481.349976
1756381029.324893, lauv-fridtjof, 71, 1481.339966
1756381029.374926, lauv-fridtjof, 71, 1481.329956
1756381029.434062, lauv-fridtjof, 71, 1481.329956
1756381029.455885, lauv-fridtjof, 61, 1480.889160
1756381029.492112, lauv-fridtjof, 71, 1481.329956
1756381029.549876, lauv-fridtjof, 71, 1481.329956
1756381029.599900, lauv-fridtjof, 71, 1481.329956
1756381029.651760, lauv-fridtjof, 61, 1480.889160
1756381029.658171, lauv-fridtjof, 71, 1481.329956
1756381029.716757, lauv-fridtjof, 71, 1481.329956
1756381029.774909, lauv-fridtjof, 71, 1481.339966
1756381029.824918, lauv-fridtjof, 71, 1481.339966
