timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1756381027.063123, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.07159436, -0.03197572, 0.00934922
1756381027.256525, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.04197942, -0.09084581, -0.07658106
1756381027.462611, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.07663295, -0.06320007, -0.12599996
1756381027.654718, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.08956116, -0.00171584, -0.06763719
1756381027.854624, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.09931748, -0.02049181, 0.03670285
1756381028.052609, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.0792033, -0.00821254, 0.06689209
1756381028.254807, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.06246815, 0.00572179, 0.03513756
1756381028.454617, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.04684678, 0.00448202, 0.00307223
1756381028.655575, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.0275045, -0.03084839, -0.03036786
1756381028.853619, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.05667075, -0.07425103, -0.06191425
1756381029.057851, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.08472151, -0.06337162, -0.03174388
1756381029.254725, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.09827632, -0.03811147, -0.0162696
1756381029.458404, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.10595021, -0.03230333, -0.03767226
1756381029.653426, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.11011635, -0.04415743, -0.04349573
1756381029.858912, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.09736228, -0.04500616, -0.04015983
1756381030.055303, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.08743513, -0.04788024, -0.04879055
1756381030.255064, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.10057995, 0.04367204, 0.04003174
1756381030.454578, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.04251346, 0.02387324, 0.11083409
1756381030.655793, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.01307379, -0.06184747, 0.01891631
1756381030.853374, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.03685903, -0.08745177, -0.11429544
1756381031.057528, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.07931071, -0.06374318, -0.12525761
1756381031.252894, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.11399872, -0.03686397, -0.00473316
1756381031.457149, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.13239367, -0.08869958, 0.05147054
1756381031.652799, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.10930969, -0.09811306, 0.03310237
1756381031.858042, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.06991383, -0.04505671, -0.01521092
1756381032.053655, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.05080543, -0.03773962, -0.04511826
1756381032.257059, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.04006981, -0.03168321, -0.04779119
1756381032.453731, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.03424712, -0.04974787, -0.02121256
1756381032.657010, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.05229967, -0.06780648, -0.01022721
1756381032.857171, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.05030748, -0.07852823, -0.01581726
1756381033.055932, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.02521576, -0.08946702, -0.02514418
1756381033.255164, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, -0.0033846, -0.0462694, -0.02323398
1756381033.456678, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.00098336, -0.0264554, -0.04110508
1756381033.653830, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.05596616, -0.03495737, -0.01532652
1756381033.858005, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.1251888, -0.07495675, 0.05219074
1756381034.054100, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.23828378, -0.05385008, 0.074931
1756381034.255834, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.33884996, -0.07863255, 0.02563193
1756381034.457158, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.44199887, -0.06719685, -0.04827956
1756381034.662417, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.50766885, -0.05983818, -0.07819408
1756381034.857897, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.53128231, -0.01433153, 0.00080639
1756381035.058516, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.60600126, -0.04306847, 0.01436113
1756381035.254417, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 0.68106163, -0.02450004, -0.05657049
