t,x,y,yaw
1756381098.585556,1356,1040,2.7445387362612244
1756381111.262627,548,922,1.061317534731181
1756381123.939073,588,964,2.110934665629029
1756381136.616755,852,1058,1.7195101453457018
1756381149.292551,1253,1225,1.9200069706757912
1756381161.97012,1616,1454,1.7126551242991388
1756381174.64658,1451,1573,1.8573686239420646
1756381187.323265,1631,1552,1.7960989616656258
1756381200.00124,1477,1547,1.7886692450440358
1756381212.67737,1621,1499,1.9702124646154764
1756381222.819145,1439,1464,1.7665343970524063
1756381222.819145,991,1272,1.7665343970524063
1756381222.819145,735,1080,1.7665343970524063
1756381314.590065,2482,1141,-0.9828684957534529
1756381327.266261,2842,1080,-0.6011994357485391
1756381339.943705,3226,1006,-0.7267484844560554
1756381352.62064,1689,792,-0.8219832972103052
1756381365.297842,2039,768,-0.8237947673524624
1756381377.973787,2027,811,-0.8815368130655526
1756381390.650981,2006,816,-0.8829784752504929
1756381403.328556,1974,828,-0.8876640564084736
1756381416.004253,1953,841,-0.8970049207826539
1756381428.681442,1925,791,-0.9248644389014761
1756381441.358138,1965,807,-0.9296475153818198
1756381454.03583,1945,831,-0.9347052643617241
1756381466.712277,1927,854,-0.9193489666959783
1756381479.38923,1917,816,-0.9638936260461378
1756381492.066545,1914,847,-0.9773346135474702
1756381504.742484,1961,952,-1.2258320485175918
1756381517.420055,1965,935,-2.594412301926447
1756381530.096243,1931,804,-2.3473380133702717
1756381542.773572,2234,1006,2.5608801377842423
1756381555.450139,2237,1056,2.031639031461735
1756381568.127817,2146,1190,1.6435386294784955
1756381580.804031,2368,1318,1.8999026588045729
1756381593.480476,1873,1338,1.715394464139558
1756381606.158296,1480,1427,1.7814740730734875
1756381618.834366,1746,1389,1.6942423084446396
1756381631.511191,1542,1476,1.6919973662263756
1756381644.188134,1585,1448,1.7348495085864433
1756381656.865582,1435,1491,1.6695152512081057
1756381669.541653,1493,1525,1.785457329296218
1756381682.219345,1547,1462,1.8396044006535328
1756381694.896043,1444,1355,1.8203430034653814
1756381707.572238,1525,1352,1.7505585136354989
1756381720.249801,1571,1292,1.7735590571262432
1756381732.926625,1558,1365,1.8553540095836643
1756381745.603435,1507,1395,1.5277201054392369
1756381758.279889,1472,1400,2.0239102970494756
1756381770.956956,1544,1215,-2.0465676764071987
1756381783.634033,1463,1002,-1.3829365479777966
1756381796.310984,1850,904,-2.0614465275632305
1756381808.987431,1632,937,-2.208730662715411
1756381821.664375,1428,974,-0.6415250549078224
1756381834.341443,1586,899,-0.784121498814834
1756381847.018383,1751,813,-0.8486767970982233
1756381859.69433,1933,791,-0.8913440444803893
1756381872.371277,1865,778,-0.8325648380890468
1756381885.048848,1865,763,-0.805270167644227
1756381897.725169,1464,824,-0.6555727952649872
1756381910.401487,1296,789,-0.7257909304123437
1756381923.079431,1053,807,-0.7575460745687957
1756381935.756257,1201,887,-1.0137720374233834
1756381948.432449,1024,956,-1.1999884953914006
1756381961.110025,1075,931,-0.4772059668844628
1756381973.786475,1014,1027,-0.8036712113137765
1756381986.463168,1102,977,-0.8691765609540582
1756381999.139756,1047,879,-1.0101187343965565
1756382011.816926,564,867,-0.9980589668127593
1756382024.494253,2472,1777,-0.5766463430517249
1756382037.170455,2793,1725,-0.8688910432904674
1756382049.847778,3197,1661,-0.8703706519118621
1756382062.524226,2015,766,-0.8502689487501496
1756382075.200914,1915,764,-0.8668866728597129
1756382087.878111,1944,750,-0.7300321391636623
1756382100.554927,1917,732,-0.8173649541842332
1756382113.231112,1979,782,-0.832325156923803
1756382125.907944,2085,845,-0.9812587608457725
1756382138.584395,1997,794,-0.9053241178974935
1756382151.262468,1978,807,-0.9097850338961478
1756382163.938411,1885,944,-1.7557328772050769
1756382176.615242,2022,895,-2.0713541249779754
1756382189.292557,2140,741,-2.5628378093438298
1756382201.969377,2270,673,-2.5576342184813603
1756382214.645573,2110,907,-2.553353772684058
1756382227.322764,1794,1550,2.0990464869313548
1756382239.999586,1469,2685,2.1059934410441463
1756382252.677137,1557,3686,2.1069521277965038
1756382265.352964,1757,4690,2.1217055661070168
1756382278.030542,2752,5090,2.125215724836117
1756382290.707118,3670,5469,2.09543490476698
1756382303.636851,785,940,2.0648270429061584
1756382318.088907,1372,1025,1.9932532646481596
1756382332.540338,1947,1120,1.950147770578874
1756382346.865506,2227,1125,2.0159115807762817
1756382359.541826,2043,1112,2.0138751524723024
1756382372.218904,1873,1077,2.065603112540388
1756382384.895348,1956,1051,2.1044665882166558
1756382397.57279,2290,1137,2.121955022547828
1756382410.249857,3113,1337,2.137653202653471
1756382422.926553,4128,1670,2.139139976640553
1756382435.602626,5144,2086,2.107059497642632
1756382448.279946,6097,2510,2.1238561238290847
1756382460.957139,7072,2862,2.1654531610403533
1756382469.196984,6997,2915,2.129113232380176
1756382469.196984,4885,2211,2.129113232380176
1756382469.196984,2389,1443,2.129113232380176
